epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9288,2.50304,5.28681,0,2.76809,1.6784,0.05553,0.97986,0.21048,0.07905,0.05598,0.98781,0.27555,0.10482,1.79774,2.84658,0,2.61785,1.19525,0.000657534,0.000657534,0.000657534
2,24.4625,1.8415,2.56683,0,1.22948,1.24488,0.85659,0.85464,0.89705,0.42417,0.87113,0.88394,0.93558,0.63335,1.70044,1.54988,0,1.22318,1.17176,0.00131546,0.00131546,0.00131546
3,33.8906,1.79194,1.84316,0,1.13339,1.21548,0.88703,0.86135,0.91072,0.43027,0.90294,0.89242,0.94139,0.72344,1.69999,1.10654,0,1.16666,1.24482,0.00196459,0.00196459,0.00196459
4,43.1903,1.74904,1.45347,0,1.09027,1.21587,0.91894,0.91786,0.95219,0.48788,0.89811,0.90619,0.93633,0.51628,1.6358,1.29198,0,0.98141,1.24585,0.0019604,0.0019604,0.0019604
5,52.3234,1.66402,1.15627,0,1.01658,1.16358,0.87955,0.86298,0.91258,0.4376,0.90902,0.90017,0.9529,0.67384,1.63514,0.80096,0,1.04162,1.22065,0.0019472,0.0019472,0.0019472
6,61.8873,1.62575,0.98279,0,0.96839,1.14807,0.93921,0.91097,0.95659,0.51718,0.95075,0.93098,0.97476,0.85009,1.50224,0.56531,0,0.92796,1.15731,0.001934,0.001934,0.001934
7,71.2623,1.616,0.90212,0,0.96162,1.15292,0.92926,0.89798,0.94574,0.51215,0.9381,0.92051,0.96643,0.80797,1.53141,0.64286,0,0.94026,1.17224,0.0019208,0.0019208,0.0019208
8,81.0388,1.56004,0.78725,0,0.91267,1.12116,0.95007,0.938,0.96683,0.55212,0.95822,0.94797,0.97799,0.87807,1.43292,0.49951,0,0.81933,1.12329,0.0019076,0.0019076,0.0019076
9,91.3283,1.53837,0.75251,0,0.87808,1.1232,0.93596,0.92164,0.94996,0.4724,0.95884,0.95813,0.98127,0.86281,1.58725,0.4925,0,0.87087,1.1962,0.0018944,0.0018944,0.0018944
10,100.967,1.5565,0.72415,0,0.87008,1.10589,0.95482,0.93694,0.97151,0.55646,0.95928,0.94879,0.98046,0.89167,1.40385,0.43527,0,0.83055,1.09714,0.0018812,0.0018812,0.0018812
11,109.899,1.49869,0.68997,0,0.85522,1.09734,0.94416,0.94087,0.9748,0.56688,0.9548,0.95147,0.98331,0.88111,1.38476,0.44409,0,0.78104,1.0995,0.001868,0.001868,0.001868
12,118.916,1.4712,0.66474,0,0.81713,1.0899,0.96246,0.93694,0.97332,0.55401,0.96621,0.95464,0.98584,0.90536,1.41895,0.42574,0,0.77109,1.10646,0.0018548,0.0018548,0.0018548
13,127.845,1.48613,0.65478,0,0.80983,1.09885,0.95603,0.94542,0.97861,0.57999,0.96492,0.96217,0.9863,0.90977,1.35404,0.3948,0,0.73179,1.09027,0.0018416,0.0018416,0.0018416
14,137.014,1.50795,0.66568,0,0.80176,1.10828,0.96109,0.9486,0.97403,0.55058,0.9727,0.96283,0.98725,0.89031,1.41007,0.42717,0,0.74434,1.11187,0.0018284,0.0018284,0.0018284
15,145.962,1.48076,0.63275,0,0.79582,1.09431,0.96351,0.94224,0.97676,0.57418,0.97575,0.95946,0.98668,0.90108,1.42203,0.4197,0,0.71258,1.1098,0.0018152,0.0018152,0.0018152
16,154.945,1.45757,0.60426,0,0.76532,1.09307,0.95946,0.9539,0.97822,0.61136,0.96737,0.96184,0.98574,0.92204,1.29311,0.35732,0,0.66894,1.05967,0.001802,0.001802,0.001802
17,164.072,1.45119,0.59746,0,0.75627,1.07507,0.96879,0.95423,0.97996,0.60967,0.97491,0.96184,0.98806,0.93031,1.2778,0.3281,0,0.66888,1.05325,0.0017888,0.0017888,0.0017888
18,173.021,1.45166,0.57607,0,0.75882,1.08199,0.9272,0.90461,0.94275,0.44383,0.95576,0.95016,0.98185,0.85343,1.73593,0.50292,0,0.81804,1.26422,0.0017756,0.0017756,0.0017756
19,183.773,1.46298,0.61876,0,0.7719,1.08832,0.95728,0.95008,0.97976,0.58636,0.97071,0.94847,0.98569,0.92113,1.37961,0.37418,0,0.68208,1.091,0.0017624,0.0017624,0.0017624
20,195.872,1.44844,0.56783,0,0.73844,1.07712,0.96691,0.94452,0.98057,0.60954,0.97447,0.95337,0.98579,0.92649,1.31838,0.35567,0,0.66472,1.06936,0.0017492,0.0017492,0.0017492
21,206.799,1.41211,0.55082,0,0.72792,1.07031,0.96783,0.95495,0.98467,0.60777,0.97315,0.96041,0.98917,0.92856,1.29772,0.34389,0,0.64148,1.06206,0.001736,0.001736,0.001736
22,218.896,1.41547,0.55135,0,0.71158,1.06704,0.96073,0.94651,0.97822,0.60783,0.96292,0.96343,0.98719,0.9258,1.31146,0.33986,0,0.64416,1.06713,0.0017228,0.0017228,0.0017228
23,233.814,1.40558,0.55146,0,0.7116,1.06189,0.9608,0.95919,0.97723,0.60455,0.9658,0.97085,0.98603,0.91763,1.31588,0.34966,0,0.61841,1.05699,0.0017096,0.0017096,0.0017096
24,248.069,1.40214,0.54768,0,0.71057,1.06313,0.96304,0.95271,0.98135,0.62828,0.9683,0.96131,0.98542,0.93408,1.25498,0.31413,0,0.64049,1.04708,0.0016964,0.0016964,0.0016964
25,260.875,1.37905,0.52227,0,0.69422,1.053,0.95995,0.95255,0.97432,0.57808,0.96956,0.96209,0.98442,0.90065,1.36654,0.39616,0,0.65375,1.08995,0.0016832,0.0016832,0.0016832
26,271.436,1.39995,0.5274,0,0.69743,1.06216,0.95276,0.95972,0.9788,0.62511,0.95863,0.96608,0.98381,0.92588,1.28699,0.33741,0,0.61211,1.0593,0.00167,0.00167,0.00167
27,282.042,1.39276,0.51071,0,0.68025,1.05331,0.95976,0.95972,0.98033,0.6293,0.97066,0.97085,0.98748,0.93814,1.26138,0.31399,0,0.59934,1.04707,0.0016568,0.0016568,0.0016568
28,292.672,1.3293,0.47326,0,0.66166,1.04365,0.96618,0.95125,0.98346,0.63071,0.9763,0.95548,0.98771,0.93815,1.29015,0.3124,0,0.59009,1.05294,0.0016436,0.0016436,0.0016436
29,303.484,1.39005,0.52698,0,0.68231,1.05655,0.95778,0.96166,0.98315,0.61937,0.96248,0.97244,0.98753,0.92965,1.28695,0.32907,0,0.61001,1.06114,0.0016304,0.0016304,0.0016304
30,314.197,1.37232,0.48771,0,0.68064,1.04851,0.96266,0.95627,0.98078,0.60924,0.97017,0.9651,0.98715,0.93231,1.32879,0.32109,0,0.60297,1.07388,0.0016172,0.0016172,0.0016172
31,326.874,1.3586,0.47859,0,0.66577,1.05011,0.95787,0.95187,0.9814,0.62779,0.96778,0.96343,0.98728,0.93052,1.28953,0.33323,0,0.59162,1.05748,0.001604,0.001604,0.001604
32,339.061,1.3577,0.48133,0,0.66584,1.04293,0.96646,0.94679,0.97885,0.62056,0.97255,0.95751,0.98646,0.92929,1.25889,0.31321,0,0.58901,1.04887,0.0015908,0.0015908,0.0015908
33,351.723,1.35714,0.46924,0,0.66287,1.05503,0.95817,0.95893,0.9826,0.63242,0.96553,0.96555,0.98779,0.93746,1.23965,0.30006,0,0.60226,1.04099,0.0015776,0.0015776,0.0015776
34,365.807,1.33524,0.45889,0,0.65157,1.04007,0.96399,0.95601,0.98029,0.64097,0.97138,0.96343,0.98648,0.94073,1.21901,0.28862,0,0.56781,1.02576,0.0015644,0.0015644,0.0015644
35,379.134,1.35776,0.49125,0,0.65354,1.05239,0.96219,0.95752,0.98125,0.63931,0.96913,0.96497,0.98614,0.93788,1.2354,0.29744,0,0.57914,1.03947,0.0015512,0.0015512,0.0015512
